Surat Ar Rahman
Ayat,Arab,Bacaan,Arti
Ar-Rahman Ayat 12,وَالْحَبُّ ذُو الْعَصْفِ وَالرَّيْحَانُۚ ,wal-ḥabbu żul-'aṣfi war-raiḥān,dan biji-bijian yang berkulit dan bunga-bunga yang harum baunya. 
Ar-Rahman Ayat 13,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan? 
Ar-Rahman Ayat 14,خَلَقَ الْاِنْسَانَ مِنْ صَلْصَالٍ كَالْفَخَّارِ ,khalaqal-insāna min ṣalṣāling kal-fakhkhār,"Dia menciptakan manusia dari tanah kering seperti tembikar,"
Ar-Rahman Ayat 15,وَخَلَقَ الْجَاۤنَّ مِنْ مَّارِجٍ مِّنْ نَّارٍۚ ,wa khalaqal-jānna mim mārijim min nār,dan Dia menciptakan jin dari nyala api tanpa asap.
Ar-Rahman Ayat 16,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 17,رَبُّ الْمَشْرِقَيْنِ وَرَبُّ الْمَغْرِبَيْنِۚ ,rabbul-masyriqaini wa rabbul-magribaīn,Tuhan (yang memelihara) dua timur dan Tuhan (yang memelihara) dua barat.
Ar-Rahman Ayat 18,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 19,مَرَجَ الْبَحْرَيْنِ يَلْتَقِيٰنِۙ,marajal-baḥraini yaltaqiyān,"Dia membiarkan dua laut mengalir yang (kemudian) keduanya bertemu, "
Ar-Rahman Ayat 20,بَيْنَهُمَا بَرْزَخٌ لَّا يَبْغِيٰنِۚ,bainahumā barzakhul lā yabgiyān,di antara keduanya ada batas yang tidak dilampaui oleh masing-masing.
Ar-Rahman Ayat 21,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 22,يَخْرُجُ مِنْهُمَا اللُّؤْلُؤُ وَالْمَرْجَانُۚ,yakhruju min-humal-lu`lu`u wal-marjān,Dari keduanya keluar mutiara dan marjan.
Ar-Rahman Ayat 23,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan? 
Ar-Rahman Ayat 24,وَلَهُ الْجَوَارِ الْمُنْشَاٰتُ فِى الْبَحْرِ كَالْاَعْلَامِۚ ,wa lahul-jawāril-munsya`ātu fil-baḥri kal-a'lām,Milik-Nyalah kapal-kapal yang berlayar di lautan bagaikan gunung-gunung.
Ar-Rahman Ayat 25,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan? 
Ar-Rahman Ayat 26,كُلُّ مَنْ عَلَيْهَا فَانٍۖ ,kullu man 'alaihā fān,"Semua yang ada di bumi itu akan binasa, "
Ar-Rahman Ayat 27,وَّيَبْقٰى وَجْهُ رَبِّكَ ذُو الْجَلٰلِ وَالْاِكْرَامِۚ ,wa yabqā waj-hu rabbika żul-jalāli wal-ikrām,tetapi wajah Tuhanmu yang memiliki kebesaran dan kemuliaan tetap kekal. 
Ar-Rahman Ayat 28,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 29,يَسْـَٔلُهٗ مَنْ فِى السَّمٰوٰتِ وَالْاَرْضِۗ كُلَّ يَوْمٍ هُوَ فِيْ شَأْنٍۚ,"yas`aluhụ man fis-samāwāti wal-arḍ, kulla yaumin huwa fī sya`n",Apa yang di langit dan di bumi selalu meminta kepada-Nya. Setiap waktu Dia dalam kesibukan. 
Ar-Rahman Ayat 30,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 31,سَنَفْرُغُ لَكُمْ اَيُّهَ الثَّقَلٰنِۚ ,sanafrugu lakum ayyuhaṡ-ṡaqalān,Kami akan memberi perhatian sepenuhnya kepadamu wahai (golongan) manusia dan jin! 
Ar-Rahman Ayat 32,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 33,يٰمَعْشَرَ الْجِنِّ وَالْاِنْسِ اِنِ اسْتَطَعْتُمْ اَنْ تَنْفُذُوْا مِنْ اَقْطَارِ السَّمٰوٰتِ وَالْاَرْضِ فَانْفُذُوْاۗ لَا تَنْفُذُوْنَ اِلَّا بِسُلْطٰنٍۚ ,"yā ma'syaral-jinni wal-insi inistaṭa'tum an tanfużụ min aqṭāris-samāwāti wal-arḍi fanfużụ, lā tanfużụna illā bisulṭān","Wahai golongan jin dan manusia! Jika kamu sanggup menembus (melintasi) penjuru langit dan bumi, maka tembuslah. Kamu tidak akan mampu menembusnya kecuali dengan kekuatan (dari Allah). "
Ar-Rahman Ayat 34,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 35,يُرْسَلُ عَلَيْكُمَا شُوَاظٌ مِّنْ نَّارٍۙ وَّنُحَاسٌ فَلَا تَنْتَصِرَانِۚ ,yursalu 'alaikumā syuwāẓum min nāriw wa nuḥāsun fa lā tantaṣirān,"Kepada kamu (jin dan manusia), akan dikirim nyala api dan cairan tembaga (panas) sehingga kamu tidak dapat menyelamatkan diri (darinya)."
Ar-Rahman Ayat 36,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 37,فَاِذَا انْشَقَّتِ السَّمَاۤءُ فَكَانَتْ وَرْدَةً كَالدِّهَانِۚ ,fa iżansyaqqatis-samā`u fa kānat wardatang kad-dihān,Maka apabila langit telah terbelah dan menjadi merah mawar seperti (kilauan) minyak. 
Ar-Rahman Ayat 38,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 39,فَيَوْمَئِذٍ لَّا يُسْـَٔلُ عَنْ ذَنْۢبِهٖٓ اِنْسٌ وَّلَا جَاۤنٌّۚ ,fa yauma`iżil lā yus`alu 'an żambihī insuw wa lā jānn,Maka pada hari itu manusia dan jin tidak ditanya tentang dosanya. 
Ar-Rahman Ayat 40,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 41,يُعْرَفُ الْمُجْرِمُوْنَ بِسِيْمٰهُمْ فَيُؤْخَذُ بِالنَّوَاصِيْ وَالْاَقْدَامِۚ ,yu'raful-mujrimụna bisīmāhum fa yu`khażu bin-nawāṣī wal-aqdām,"Orang-orang yang berdosa itu diketahui dengan tanda-tandanya, lalu direnggut ubun-ubun dan kakinya."
Ar-Rahman Ayat 42,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 43,هٰذِهٖ جَهَنَّمُ الَّتِيْ يُكَذِّبُ بِهَا الْمُجْرِمُوْنَۘ ,hāżihī jahannamullatī yukażżibu bihal-mujrimụn,Inilah neraka Jahanam yang didustakan oleh orang-orang yang berdosa.
Ar-Rahman Ayat 44,يَطُوْفُوْنَ بَيْنَهَا وَبَيْنَ حَمِيْمٍ اٰنٍۚ ,yaṭụfụna bainahā wa baina ḥamīmin ān,Mereka berkeliling di sana dan di antara air yang mendidih. 
Ar-Rahman Ayat 45,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 46,وَلِمَنْ خَافَ مَقَامَ رَبِّهٖ جَنَّتٰنِۚ,wa liman khāfa maqāma rabbihī jannatān,Dan bagi siapa yang takut akan saat menghadap Tuhannya ada dua surga.
Ar-Rahman Ayat 47,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۙ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 48,ذَوَاتَآ اَفْنَانٍۚ ,żawātā afnān,kedua surga itu mempunyai aneka pepohonan dan buah-buahan.
Ar-Rahman Ayat 49,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 50,فِيْهِمَا عَيْنٰنِ تَجْرِيٰنِۚ ,fīhimā 'aināni tajriyān,Di dalam kedua surga itu ada dua buah mata air yang memancar.
Ar-Rahman Ayat 51,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 52,فِيْهِمَا مِنْ كُلِّ فَاكِهَةٍ زَوْجٰنِۚ ,fīhimā ming kulli fākihatin zaujān,Di dalam kedua surga itu terdapat aneka buah-buahan yang berpasang-pasangan. 
Ar-Rahman Ayat 53,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۚ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 54,مُتَّكِـِٕيْنَ عَلٰى فُرُشٍۢ بَطَاۤىِٕنُهَا مِنْ اِسْتَبْرَقٍۗ وَجَنَا الْجَنَّتَيْنِ دَانٍۚ ,"muttaki`īna 'alā furusyim baṭā`inuhā min istabraq, wa janal-jannataini dān",Mereka bersandar di atas permadani yang bagian dalamnya dari sutera tebal. Dan buah-buahan di kedua surga itu dapat (dipetik) dari dekat. 
Ar-Rahman Ayat 55,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 56,فِيْهِنَّ قٰصِرٰتُ الطَّرْفِۙ لَمْ يَطْمِثْهُنَّ اِنْسٌ قَبْلَهُمْ وَلَا جَاۤنٌّۚ ,fīhinna qāṣirātuṭ-ṭarfi lam yaṭmiṡ-hunna insung qablahum wa lā jānn,"Di dalam surga itu ada bidadari-bidadari yang membatasi pandangan, yang tidak pernah disentuh oleh manusia maupun jin sebelumnya. "
Ar-Rahman Ayat 57,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۚ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 58,كَاَنَّهُنَّ الْيَاقُوْتُ وَالْمَرْجَانُۚ ,ka`annahunnal-yāqụtu wal-marjān,Seakan-akan mereka itu permata yakut dan marjan. 
Ar-Rahman Ayat 59,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 60,هَلْ جَزَاۤءُ الْاِحْسَانِ اِلَّا الْاِحْسَانُۚ ,hal jazā`ul-iḥsāni illal-iḥsān,Tidak ada balasan untuk kebaikan selain kebaikan (pula).
Ar-Rahman Ayat 61,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 62,وَمِنْ دُوْنِهِمَا جَنَّتٰنِۚ ,wa min dụnihimā jannatān,Dan selain dari dua surga itu ada dua surga lagi.
Ar-Rahman Ayat 63,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۙ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,"Maka nikmat Tuhanmu yang manakah yang kamu dustakan,"
Ar-Rahman Ayat 64,مُدْهَاۤمَّتٰنِۚ ,mud-hāmmatān,kedua surga itu (kelihatan) hijau tua warnanya.
Ar-Rahman Ayat 65,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 66,فِيْهِمَا عَيْنٰنِ نَضَّاخَتٰنِۚ ,fīhimā 'aināni naḍḍākhatān,Di dalam keduanya (surga itu) ada dua buah mata air yang memancar.
Ar-Rahman Ayat 67,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۚ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 68,فِيْهِمَا فَاكِهَةٌ وَّنَخْلٌ وَّرُمَّانٌۚ ,fīhimā fākihatuw wa nakhluw wa rummān,"Di dalam kedua surga itu ada buah-buahan, kurma dan delima."
Ar-Rahman Ayat 69,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۚ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 70,فِيْهِنَّ خَيْرٰتٌ حِسَانٌۚ ,fīhinna khairātun ḥisān,Di dalam surga-surga itu ada bidadari-bidadari yang baik-baik dan jelita.
Ar-Rahman Ayat 71,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۚ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 72,حُوْرٌ مَّقْصُوْرٰتٌ فِى الْخِيَامِۚ ,ḥụrum maqṣụrātun fil-khiyām,Bidadari-bidadari yang dipelihara di dalam kemah-kemah.
Ar-Rahman Ayat 73,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۚ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 74,لَمْ يَطْمِثْهُنَّ اِنْسٌ قَبْلَهُمْ وَلَا جَاۤنٌّۚ ,lam yaṭmiṡ-hunna insung qablahum wa lā jānn,Mereka tidak pernah disentuh oleh manusia maupun oleh jin sebelumnya.
Ar-Rahman Ayat 75,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۚ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 76,مُتَّكِـِٕيْنَ عَلٰى رَفْرَفٍ خُضْرٍ وَّعَبْقَرِيٍّ حِسَانٍۚ ,muttaki`īna 'alā rafrafin khuḍriw wa 'abqariyyin ḥisān,Mereka bersandar pada bantal-bantal yang hijau dan permadani-permadani yang indah.
Ar-Rahman Ayat 77,فَبِاَيِّ اٰلَاۤءِ رَبِّكُمَا تُكَذِّبٰنِۚ ,fa bi`ayyi ālā`i rabbikumā tukażżibān,Maka nikmat Tuhanmu yang manakah yang kamu dustakan?
Ar-Rahman Ayat 78,تَبٰرَكَ اسْمُ رَبِّكَ ذِى الْجَلٰلِ وَالْاِكْرَامِ ,tabārakasmu rabbika żil-jalāli wal-ikrām,Mahasuci nama Tuhanmu Pemilik Keagungan dan Kemuliaan.
