judul,author,image,amazon_url
The Brothers Karamazov ,Fyodor Dostoyevsky,http://ecx.images-amazon.com/images/I/51c4Gb6Uo0L._SL160_.jpg,http://www.amazon.com/The-Brothers-Karamazov-Fyodor-Dostoevsky/dp/0374528373%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0374528373
Crime and Punishment ,Fyodor Dostoyevsky,https://images-na.ssl-images-amazon.com/images/I/41c99G44teL._SL160_.jpg,https://www.amazon.com/Crime-Punishment-Fyodor-Dostoyevsky/dp/0486415872?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0486415872
Madame Bovary,Gustave Flaubert,http://ecx.images-amazon.com/images/I/51o5dnjk07L._SL160_.jpg,http://www.amazon.com/Madame-Vintage-Classics-Gustave-Flaubert/dp/0679736360%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0679736360
The Divine Comedy ,Dante Alighieri,https://images-na.ssl-images-amazon.com/images/I/51Z5kuQVBjL._SL160_.jpg,http://www.amazon.com/Inferno-Bantam-Classics-Dante-Alighieri/dp/0553213393%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0553213393
The Adventures of Huckleberry Finn,Mark Twain,http://ecx.images-amazon.com/images/I/51Ht1M-GPXL._SL160_.jpg,http://www.amazon.com/Adventures-Huckleberry-Finn-Amazon-Classics/dp/099658482X%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D099658482X
Alice's Adventures in Wonderland ,Lewis Carroll,http://ecx.images-amazon.com/images/I/41h9Pz2qeIL._SL160_.jpg,http://www.amazon.com/Alice-Wonderland-Collection-Four-Books/dp/1530917565%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1530917565
Pride and Prejudice,Jane Austen,https://images-na.ssl-images-amazon.com/images/I/41FEoMd5E9L._SL160_.jpg,https://www.amazon.com/Pride-Prejudice-Jane-Austen/dp/0141439513?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0141439513
Wuthering Heights,Emily Brontë,http://ecx.images-amazon.com/images/I/51-6ApKTHaL._SL160_.jpg,http://www.amazon.com/Wuthering-Heights-Dover-Thrift-Editions/dp/0486292568%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0486292568
To the Lighthouse ,Virginia Woolf,https://images-na.ssl-images-amazon.com/images/I/51ZtQidg%2B8L._SL160_.jpg,https://www.amazon.com/Lighthouse-Virginia-Woolf/dp/0156907399?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0156907399
Catch-22 ,Joseph Heller,https://images-na.ssl-images-amazon.com/images/I/51ysenLIXNL._SL160_.jpg,https://www.amazon.com/Catch-22-50th-Anniversary-Joseph-Heller/dp/1451626657?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1451626657
The Sound and the Fury,William Faulkner,http://ecx.images-amazon.com/images/I/51--Odn0keL._SL160_.jpg,http://www.amazon.com/The-Sound-Fury-Corrected-Text/dp/0679732241%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0679732241
Nineteen Eighty Four,George Orwell,https://images-na.ssl-images-amazon.com/images/I/41HZA5S2jfL._SL160_.jpg,https://www.amazon.com/1984-Signet-Classics-George-Orwell/dp/0451524934?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0451524934
Anna Karenina,Leo Tolstoy,http://ecx.images-amazon.com/images/I/51vPf2CfSEL._SL160_.jpg,http://www.amazon.com/Anna-Karenina-Leo-Tolstoy/dp/0143035002%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0143035002
The Iliad,Homer,http://ecx.images-amazon.com/images/I/512j6byhjvL._SL160_.jpg,http://www.amazon.com/Iliad-Penguin-Classics-Deluxe/dp/0140275363%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0140275363
Heart of Darkness,Joseph Conrad,http://ecx.images-amazon.com/images/I/51fy8GvogmL._SL160_.jpg,http://www.amazon.com/Heart-Darkness-Joseph-Conrad/dp/1535445289%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1535445289
The Grapes of Wrath ,John Steinbeck,https://images-na.ssl-images-amazon.com/images/I/51zdzn8cO3L._SL160_.jpg,https://www.amazon.com/Grapes-Wrath-John-Steinbeck/dp/0143039431?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0143039431
Invisible Man ,Ralph Ellison,https://images-na.ssl-images-amazon.com/images/I/51NIZqFLvJL._SL160_.jpg,https://www.amazon.com/Invisible-Man-Ralph-Ellison/dp/0679732764?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0679732764
To Kill a Mockingbird ,Harper Lee,http://ecx.images-amazon.com/images/I/51f7ZwJN-NL._SL160_.jpg,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0446310786?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0446310786
Middlemarch,George Eliot,https://images-na.ssl-images-amazon.com/images/I/41SIsFmoMjL._SL160_.jpg,https://www.amazon.com/Middlemarch-Penguin-Classics-George-Eliot/dp/0141439548?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0141439548
Great Expectations,Charles Dickens,http://ecx.images-amazon.com/images/I/61buI5-QU5L._SL160_.jpg,http://www.amazon.com/Great-Expectations-Dover-Thrift-Editions/dp/0486415864%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0486415864
Gulliver's Travels,Jonathan Swift,https://images-na.ssl-images-amazon.com/images/I/51wax826R9L._SL160_.jpg,https://www.amazon.com/Gullivers-Travels-Dover-Thrift-Editions/dp/0486292738?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0486292738
"Absalom, Absalom!",William Faulkner,http://ecx.images-amazon.com/images/I/417VRKNDMYL._SL160_.jpg,http://www.amazon.com/Absalom-Modern-Library-William-Faulkner/dp/0679600728%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0679600728
Beloved,Toni Morrison,https://images-na.ssl-images-amazon.com/images/I/41Rdzbiqh7L._SL160_.jpg,https://www.amazon.com/Beloved-Toni-Morrison/dp/1400033411?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1400033411
The Stranger ,Albert Camus,https://images-na.ssl-images-amazon.com/images/I/51EVK-ibmtL._SL160_.jpg,https://www.amazon.com/Stranger-Albert-Camus/dp/0679720200?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0679720200
Jane Eyre,Charlotte Bronte,http://ecx.images-amazon.com/images/I/51QcVxT0-NL._SL160_.jpg,http://www.amazon.com/Jane-Eyre-8-5-x-11/dp/1494464586%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1494464586
One Thousand and One Nights,India/Iran/Iraq/Egypt,http://ecx.images-amazon.com/images/I/518Nb9heqmL._SL160_.jpg,http://www.amazon.com/Thousand-Arabian-Nights-Oxford-Collections/dp/0192750135%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0192750135
The Trial,Franz Kafka,https://images-na.ssl-images-amazon.com/images/I/51z6huzmB9L._SL160_.jpg,https://www.amazon.com/Trial-Translation-Restored-Schocken-Library/dp/0805209999?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0805209999
The Red and the Black,Stendhal,https://images-na.ssl-images-amazon.com/images/I/51tJTqiIubL._SL160_.jpg,https://www.amazon.com/Red-Black-Penguin-Classics/dp/0140447644?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0140447644
Mrs. Dalloway ,Virginia Woolf,http://ecx.images-amazon.com/images/I/51XYS19wKML._SL160_.jpg,http://www.amazon.com/Mrs-Dalloway-Virginia-Woolf/dp/0156628708%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0156628708
The Stories of Anton Chekhov,Anton Chekhov,https://images-na.ssl-images-amazon.com/images/I/51Oq8JfXh4L._SL160_.jpg,https://www.amazon.com/Stories-Anton-Chekhov/dp/0553381008?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0553381008
The Sun Also Rises ,Ernest Hemingway,https://images-na.ssl-images-amazon.com/images/I/51lmTfDL9fL._SL160_.jpg,https://www.amazon.com/Sun-Also-Rises-Ernest-Hemingway/dp/0743297334?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0743297334
David Copperfield,Charles Dickens,http://ecx.images-amazon.com/images/I/513-uk5-JzL._SL160_.jpg,https://www.amazon.com/David-Copperfield-Flame-Collectable-Classics/dp/1787557065?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1787557065
A Portrait of the Artist as a Young Man ,James Joyce,https://images-na.ssl-images-amazon.com/images/I/51543CTBRTL._SL160_.jpg,https://www.amazon.com/Portrait-Artist-Young-Penguin-Classics/dp/0142437344?psc=1&SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0142437344
Midnight's Children ,Salman Rushdie,https://images-na.ssl-images-amazon.com/images/I/51U4f222KHL._SL160_.jpg,https://www.amazon.com/Midnights-Children-Modern-Library-Novels/dp/0812976533?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0812976533
Collected Fiction,Jorge Luis Borges,https://images-na.ssl-images-amazon.com/images/I/41Lszx0tLgL._SL160_.jpg,https://www.amazon.com/Collected-Fictions-Jorge-Luis-Borges/dp/0140286802?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0140286802
Tristram Shandy,Laurence Sterne,http://ecx.images-amazon.com/images/I/51B6LBsVwFL._SL160_.jpg,http://www.amazon.com/Tristram-Shandy-Wordsworth-Classics-Laurence/dp/1853262919%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1853262919
Leaves of Grass,Walt Whitman,https://images-na.ssl-images-amazon.com/images/I/51q4yXVOSbL._SL160_.jpg,https://www.amazon.com/Leaves-Grass-Original-Walt-Whitman/dp/1449505716?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1449505716
The Aeneid,Virgil,https://images-na.ssl-images-amazon.com/images/I/41RFe2s3UyL._SL160_.jpg,https://www.amazon.com/Aeneid-Penguin-Classics-Deluxe/dp/0143105132?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0143105132
Candide,Voltaire,https://images-na.ssl-images-amazon.com/images/I/51rvAFkzotL._SL160_.jpg,https://www.amazon.com/Candide-Optimism-Penguin-Classics-Voltaire/dp/0140440046%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0140440046
The Lord of the Rings,J. R. R. Tolkien,https://images-na.ssl-images-amazon.com/images/I/51tW-UJVfHL._SL160_.jpg,https://www.amazon.com/J-R-R-Tolkien-4-Book-Boxed-Set/dp/0345538374?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0345538374
Les Misérables,Victor Hugo,https://images-na.ssl-images-amazon.com/images/I/51nLJ-LD1QL._SL160_.jpg,https://www.amazon.com/Miserables-Signet-Classics-Victor-Hugo/dp/045141943X?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=045141943X
The Magic Mountain,Thomas Mann,https://images-na.ssl-images-amazon.com/images/I/51NRB%2BD4XtL._SL160_.jpg,https://www.amazon.com/Magic-Mountain-Thomas-Mann/dp/0679772871?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0679772871
A Passage to India ,E. M. Forster,https://images-na.ssl-images-amazon.com/images/I/51IaTtJ2bfL._SL160_.jpg,https://www.amazon.com/Passage-India-M-Forster/dp/0156711427?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0156711427
The Old Man and the Sea,Ernest Hemingway,https://images-na.ssl-images-amazon.com/images/I/411pakPjvdL._SL160_.jpg,https://www.amazon.com/Old-Man-Book-Cover-Vary/dp/0684801221?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0684801221
Things Fall Apart ,Chinua Achebe,https://images-na.ssl-images-amazon.com/images/I/61l%2BVmohEOL._SL160_.jpg,https://www.amazon.com/Things-Fall-Apart-Chinua-Achebe/dp/0385474547?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0385474547
For Whom the Bell Tolls,Ernest Hemingway,https://images-na.ssl-images-amazon.com/images/I/51tVZYEa7sL._SL160_.jpg,https://www.amazon.com/Whom-Bell-Tolls-Ernest-Hemingway/dp/0684803356?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0684803356
The Complete Stories of Franz Kafka,Franz Kafka,https://images-na.ssl-images-amazon.com/images/I/41ik%2BDauvfL._SL160_.jpg,https://www.amazon.com/Franz-Kafka-Complete-Stories/dp/0805210555?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0805210555
The Portrait of a Lady ,Henry James,https://images-na.ssl-images-amazon.com/images/I/51AUJPs0mjL._SL160_.jpg,https://www.amazon.com/Portrait-Lady-Penguin-Classics/dp/0141441267?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0141441267
Pale Fire ,Vladimir Nabokov,https://images-na.ssl-images-amazon.com/images/I/41QEZa3nmiL._SL160_.jpg,https://www.amazon.com/Pale-Fire-Vladimir-Nabokov/dp/0679723420?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0679723420
The Idiot,Fyodor Dostoyevsky,http://ecx.images-amazon.com/images/I/51MB3RjD2OL._SL160_.jpg,http://www.amazon.com/Idiot-Vintage-Classics-Fyodor-Dostoevsky/dp/0375702245%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0375702245
As I Lay Dying,William Faulkner,https://images-na.ssl-images-amazon.com/images/I/518o93qUhOL._SL160_.jpg,https://www.amazon.com/As-Lay-Dying-Corrected-Text/dp/067973225X?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=067973225X
Oedipus the King,Sophocles,http://ecx.images-amazon.com/images/I/51%2BoIEyVJXL._SL160_.jpg,http://www.amazon.com/Sophocles-Oedipus-Antigone-Complete-Tragedies/dp/0226307921%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0226307921
The Color Purple,Alice Walker,http://ecx.images-amazon.com/images/I/51od9F4CudL._SL160_.jpg,http://www.amazon.com/The-Color-Purple-Alice-Walker/dp/0156028352%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0156028352
Gone With the Wind ,Margaret Mitchell,https://images-na.ssl-images-amazon.com/images/I/51y1omNT91L._SL160_.jpg,https://www.amazon.com/Gone-Wind-Margaret-Mitchell/dp/068483068X?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=068483068X
Lord of the Flies ,William Golding,http://ecx.images-amazon.com/images/I/31acUUuC7mL._SL160_.jpg,https://www.amazon.com/Lord-Flies-William-Golding/dp/0399501487?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0399501487
Brave New World,Aldous Huxley,https://images-na.ssl-images-amazon.com/images/I/41le8ej-fiL._SL160_.jpg,https://www.amazon.com/Brave-New-World-Aldous-Huxley/dp/0060850523?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0060850523
The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,https://images-na.ssl-images-amazon.com/images/I/41zsy6eOB-L._SL160_.jpg,http://www.amazon.com/Complete-Tales-Poems-Knickerbocker-Classics/dp/1937994430%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1937994430
Emma,Jane Austen,https://images-na.ssl-images-amazon.com/images/I/41GO%2BY0l5HL._SL160_.jpg,https://www.amazon.com/Emma-Penguin-Classics-Jane-Austen/dp/0141439580?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0141439580
The Age of Innocence,Edith Wharton,https://images-na.ssl-images-amazon.com/images/I/51qaPGr76kL._SL160_.jpg,https://www.amazon.com/Three-Novels-New-York-Innocence/dp/0143106554?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0143106554
Dead Souls,Nikolai Gogol,https://images-na.ssl-images-amazon.com/images/I/51SmVhoHDML._SL160_.jpg,https://www.amazon.com/Dead-Souls-Nikolai-Gogol/dp/0679776443?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0679776443
On the Road,Jack Kerouac,https://images-na.ssl-images-amazon.com/images/I/51CUWHXeZ7L._SL160_.jpg,https://www.amazon.com/Road-Jack-Kerouac/dp/0140283293?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0140283293
The Good Soldier,Ford Madox Ford,https://images-na.ssl-images-amazon.com/images/I/51-BTCzPnzL._SL160_.jpg,https://www.amazon.com/Good-Soldier-Ford-Madox/dp/1420959174?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1420959174
Animal Farm,George Orwell,https://images-na.ssl-images-amazon.com/images/I/415GrAIKjTL._SL160_.jpg,http://www.amazon.com/Animal-Farm-Anniversary-George-Orwell/dp/0451526341%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0451526341
The Canterbury Tales,Geoffrey Chaucer,http://ecx.images-amazon.com/images/I/5127gBD7WYL._SL160_.jpg,http://www.amazon.com/Canterbury-Tales-Oxford-Worlds-Classics/dp/0199599025%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0199599025
The Metamorphosis,Franz Kafka,http://ecx.images-amazon.com/images/I/31Q4L9IZPNL._SL160_.jpg,http://www.amazon.com/The-Metamorphosis-Franz-Kafka/dp/1578987857%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1578987857
Frankenstein ,Mary Shelley,http://ecx.images-amazon.com/images/I/411myDRSSQL._SL160_.jpg,http://www.amazon.com/Frankenstein-Mary-Shelley/dp/0486282112%3FSubscriptionId%3D1RN7ZZ7D7SDQHR7TRJG2%26tag%3Dshanesherman-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0486282112
Vanity Fair,William Makepeace Thackeray,https://images-na.ssl-images-amazon.com/images/I/61GFpj1d0qL._SL160_.jpg,https://www.amazon.com/Vanity-Fair-William-Makepeace-Thackeray/dp/1719199361?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1719199361
